sample_id,mfcc_variance,spectral_centroid_shift,spectral_rolloff_anomaly,zero_crossing_rate_std,pitch_jitter_score,harmonic_to_noise_ratio,frequency_consistency,noise_pattern,ai_artifact_detected,is_synthetic,synthetic_confidence,trust_score,risk_level,verdict
AUD-20000,61.157,0.1666,0.169,0.0811,0.4223,11.36,Natural,Organic,No,0,0.04,93,LOW,Authentic Voice Content
AUD-20001,93.876,0.3881,0.0982,0.0941,0.5918,15.29,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20002,43.712,0.5249,0.6122,0.0161,0.0845,26.72,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8964,9,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20003,40.677,0.565,0.6031,0.0238,0.094,30.19,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8336,15,HIGH,Synthetic Voice / Deepfake Audio
AUD-20004,14.682,0.6297,0.9661,0.0099,0.116,29.27,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9081,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20005,69.258,0.1811,0.1974,0.1105,0.4962,17.18,Natural,Organic,No,0,0.0764,92,LOW,Authentic Voice Content
AUD-20006,86.062,0.134,0.3262,0.072,0.4013,15.27,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20007,45.747,0.7972,0.8371,0.0244,0.0791,11.76,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9709,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20008,54.006,0.5898,0.8714,0.0408,0.058,23.57,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9064,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20009,83.922,0.2982,0.1676,0.092,0.3015,21.48,Natural,Organic,No,0,0.1324,90,LOW,Authentic Voice Content
AUD-20010,94.089,0.2193,0.0581,0.0545,0.5234,9.47,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20011,58.188,0.2359,0.2069,0.0637,0.4114,13.74,Natural,Organic,No,0,0.078,92,LOW,Authentic Voice Content
AUD-20012,113.883,0.3506,0.1677,0.0631,0.541,16.17,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20013,104.832,0.2216,0.0233,0.0654,0.4312,21.34,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20014,98.169,0.2076,0.1707,0.0598,0.1946,15.09,Natural,Organic,No,0,0.2617,76,LOW,Authentic Voice Content
AUD-20015,73.464,0.2185,0.0726,0.0691,0.4613,10.91,Natural,Organic,No,0,0.0313,93,LOW,Authentic Voice Content
AUD-20016,99.901,0.1903,0.2235,0.0553,0.2656,13.62,Natural,Organic,No,0,0.0713,99,LOW,Authentic Voice Content
AUD-20017,46.732,0.9108,0.7007,0.0175,0.089,24.98,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.933,14,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20018,44.032,0.3132,0.1475,0.0771,0.389,10.12,Natural,Organic,No,0,0.0932,88,LOW,Authentic Voice Content
AUD-20019,46.395,0.9215,0.8379,0.0383,0.174,32.03,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.944,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20020,87.926,0.1999,0.1289,0.0986,0.6302,16.33,Natural,Organic,No,0,0.0825,89,LOW,Authentic Voice Content
AUD-20021,70.777,0.2357,0.2055,0.0355,0.468,16.46,Natural,Organic,No,0,0.1473,82,LOW,Authentic Voice Content
AUD-20022,45.993,0.8534,0.7856,0.013,0.1124,23.5,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.8996,22,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20023,82.275,0.2107,0.1038,0.0941,0.4861,12.55,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20024,27.257,0.7118,0.6423,0.0126,0.0612,31.64,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.6646,24,HIGH,Synthetic Voice / Deepfake Audio
AUD-20025,59.197,0.2641,0.1558,0.0912,0.5979,11.44,Natural,Organic,No,0,0.0382,94,LOW,Authentic Voice Content
AUD-20026,105.262,0.1592,0.302,0.0928,0.5653,23.38,Natural,Organic,No,0,0.0259,95,LOW,Authentic Voice Content
AUD-20027,41.873,0.54,0.8838,0.0264,0.1593,35.16,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.775,20,HIGH,Synthetic Voice / Deepfake Audio
AUD-20028,52.299,0.6275,0.7031,0.0425,0.1482,29.25,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.809,20,HIGH,Synthetic Voice / Deepfake Audio
AUD-20029,113.28,0.115,0.0969,0.0967,0.6566,12.12,Natural,Organic,No,0,0.0525,93,LOW,Authentic Voice Content
AUD-20030,85.978,0.2913,0.1991,0.1095,0.3168,23.78,Natural,Organic,No,0,0.0396,99,LOW,Authentic Voice Content
AUD-20031,65.533,0.2895,0.2345,0.0965,0.4346,9.28,Natural,Organic,No,0,0.0533,95,LOW,Authentic Voice Content
AUD-20032,72.478,0.2301,0.1281,0.0899,0.4382,18.26,Natural,Organic,No,0,0.1479,81,LOW,Authentic Voice Content
AUD-20033,94.661,0.3021,0.2585,0.0762,0.5546,19.54,Natural,Organic,No,0,0.033,99,LOW,Authentic Voice Content
AUD-20034,75.675,0.1754,0.1882,0.0927,0.5403,16.36,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20035,49.664,0.5231,0.7371,0.0424,0.0995,26.05,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20036,85.778,0.1277,0.0393,0.1369,0.3205,16.65,Natural,Organic,No,0,0.0401,91,LOW,Authentic Voice Content
AUD-20037,64.582,0.265,0.2359,0.0625,0.4925,11.69,Natural,Organic,No,0,0.0222,99,LOW,Authentic Voice Content
