sample_id,media_type,edge_blending_score,facial_symmetry_deviation,lighting_inconsistency,ela_difference_mean,fft_high_freq_ratio,noise_pattern_residual,color_space_variance,temporal_jitter,blink_rate_anomaly,is_synthetic,synthetic_confidence,trust_score,risk_level,verdict
MED-10000,Video,0.6199,0.2763,0.2491,6.557,0.5851,0.0922,0.1627,0.1121,0.0052,0,0.01,96,LOW,Authentic Content
MED-10001,Image,0.2036,0.6901,0.5205,31.967,0.1889,0.4658,0.6251,0.0,0.0,1,0.7899,19,CRITICAL,Deepfake Detected
MED-10002,Image,0.7301,0.0488,0.2783,17.924,0.6632,0.1331,0.2705,0.0,0.0,0,0.0195,91,LOW,Authentic Content
MED-10003,Video,0.7975,0.1966,0.2599,11.33,0.6106,0.1076,0.1501,0.0246,0.186,0,0.0693,91,LOW,Authentic Content
MED-10004,Video,0.7915,0.2278,0.2516,13.434,0.5606,0.3223,0.1264,0.0801,0.1163,0,0.01,99,LOW,Authentic Content
MED-10005,Video,0.276,0.6482,0.6602,44.517,0.2727,0.6911,0.6177,0.8669,0.7263,1,0.8191,21,HIGH,Deepfake Detected
MED-10006,Image,0.7595,0.0368,0.1421,7.0,0.4237,0.1103,0.2323,0.0,0.0,0,0.1932,81,LOW,Authentic Content
MED-10007,Video,0.5758,0.1548,0.4017,7.527,0.5562,0.1179,0.1065,0.1571,0.1651,0,0.1275,83,LOW,Authentic Content
MED-10008,Video,0.529,0.0708,0.129,8.549,0.4596,0.027,0.2055,0.0469,0.1484,0,0.0248,99,LOW,Authentic Content
MED-10009,Image,0.1464,0.802,0.5477,41.23,0.2846,0.3928,0.6022,0.0,0.0,1,0.876,16,HIGH,Deepfake Detected
MED-10010,Video,0.6576,0.1681,0.2563,8.812,0.374,0.183,0.306,0.1367,0.0627,0,0.0349,91,LOW,Authentic Content
MED-10011,Video,0.2171,0.4745,0.612,49.044,0.1608,0.8435,0.6446,1.0,0.7141,1,0.7094,28,CRITICAL,Deepfake Detected
MED-10012,Image,0.5949,0.1321,0.2443,9.856,0.5113,0.0692,0.0788,0.0,0.0,0,0.0532,98,LOW,Authentic Content
MED-10013,Image,0.7332,0.1547,0.0771,9.452,0.5873,0.185,0.2843,0.0,0.0,0,0.01,95,LOW,Authentic Content
MED-10014,Video,0.1049,0.8231,0.8112,34.717,0.2407,0.5263,0.5516,0.5326,0.7123,1,0.99,5,HIGH,Deepfake Detected
MED-10015,Image,0.134,0.7624,0.5421,67.168,0.3275,0.8681,0.6795,0.0,0.0,1,0.8515,17,HIGH,Deepfake Detected
MED-10016,Image,0.1345,0.7557,0.8412,24.096,0.1532,0.574,0.5016,0.0,0.0,1,0.99,5,CRITICAL,Deepfake Detected
MED-10017,Video,0.5776,0.0915,0.0648,7.369,0.7446,0.1188,0.1254,0.0353,0.1137,0,0.01,93,LOW,Authentic Content
MED-10018,Video,0.2455,0.7407,0.8474,36.071,0.1849,0.7535,0.5951,0.2785,0.8921,1,0.7885,31,CRITICAL,Deepfake Detected
MED-10019,Image,0.323,0.5916,0.8389,42.784,0.1246,0.7939,0.6169,0.0,0.0,1,0.9313,10,HIGH,Deepfake Detected
MED-10020,Video,0.8168,0.2742,0.1404,6.772,0.5514,0.1207,0.2745,0.0738,0.1769,0,0.0656,96,LOW,Authentic Content
MED-10021,Video,0.8354,0.303,0.2759,1.928,0.4664,0.1923,0.1043,0.1385,0.16,0,0.0381,96,LOW,Authentic Content
MED-10022,Image,0.1427,0.7721,0.9101,33.3,0.1963,0.7395,0.6847,0.0,0.0,1,0.9654,5,CRITICAL,Deepfake Detected
MED-10023,Video,0.1483,0.8086,0.6976,38.272,0.0998,0.647,0.5454,0.6781,0.5759,1,0.9019,17,CRITICAL,Deepfake Detected
MED-10024,Image,0.6772,0.1556,0.2685,9.858,0.5265,0.2565,0.2325,0.0,0.0,0,0.0541,99,LOW,Authentic Content
MED-10025,Image,0.1551,0.6563,0.5303,50.891,0.0352,0.344,0.6235,0.0,0.0,1,0.9071,14,HIGH,Deepfake Detected
MED-10026,Video,0.0407,0.8569,0.6543,17.942,0.2883,0.6317,0.7285,0.333,0.6101,1,0.8505,15,CRITICAL,Deepfake Detected
MED-10027,Video,0.3283,0.4747,0.795,51.225,0.3033,0.5175,0.5435,0.6636,1.0,1,0.8615,21,CRITICAL,Deepfake Detected
MED-10028,Image,0.1412,0.7768,0.9116,26.921,0.2349,0.8193,0.369,0.0,0.0,1,0.7317,16,CRITICAL,Deepfake Detected
MED-10029,Image,0.5309,0.1488,0.2517,7.215,0.3202,0.1196,0.2322,0.0,0.0,0,0.1474,79,LOW,Authentic Content
MED-10030,Image,0.5904,0.3144,0.1513,6.637,0.4629,0.0711,0.1553,0.0,0.0,0,0.01,98,LOW,Authentic Content
MED-10031,Image,0.7592,0.2181,0.1242,5.623,0.5895,0.0872,0.1018,0.0,0.0,0,0.2224,76,LOW,Authentic Content
MED-10032,Image,0.9202,0.0722,0.1872,13.533,0.2252,0.0714,0.1276,0.0,0.0,0,0.0688,92,LOW,Authentic Content
MED-10033,Image,0.7622,0.2344,0.2388,5.141,0.5196,0.2625,0.2812,0.0,0.0,0,0.0536,99,LOW,Authentic Content
MED-10034,Image,0.9525,0.1522,0.1915,6.935,0.4914,0.0925,0.1499,0.0,0.0,0,0.0571,92,LOW,Authentic Content
MED-10035,Image,0.7704,0.1432,0.1281,10.844,0.5801,0.0613,0.2079,0.0,0.0,0,0.1251,80,LOW,Authentic Content
MED-10036,Image,0.2799,0.2689,0.7564,27.648,0.2311,0.3842,0.5721,0.0,0.0,1,0.7289,26,CRITICAL,Deepfake Detected
MED-10037,Image,0.5877,0.1038,0.2796,10.901,0.4332,0.266,0.0584,0.0,0.0,0,0.018,98,LOW,Authentic Content
MED-10038,Image,0.6155,0.1704,0.1265,10.259,0.4818,0.1009,0.2435,0.0,0.0,0,0.1421,76,LOW,Authentic Content
MED-10039,Image,0.5129,0.5288,0.8672,28.377,0.0536,0.6526,0.5513,0.0,0.0,1,0.9323,7,CRITICAL,Deepfake Detected
MED-10040,Video,0.9088,0.118,0.237,16.147,0.5418,0.1349,0.1633,0.0575,0.1698,0,0.0286,97,LOW,Authentic Content
MED-10041,Video,0.1076,0.6133,0.826,27.434,0.2496,0.8669,0.6296,0.9578,0.5839,1,0.7255,28,HIGH,Deepfake Detected
MED-10042,Image,0.7935,0.06,0.1617,8.364,0.7339,0.1554,0.2173,0.0,0.0,0,0.1065,90,LOW,Authentic Content
MED-10043,Image,0.1392,0.6611,1.0,44.787,0.133,0.6287,0.7085,0.0,0.0,1,0.7917,15,HIGH,Deepfake Detected
MED-10044,Video,0.0327,0.5572,0.6837,20.462,0.1603,0.6064,0.2564,0.6102,0.6654,1,0.9196,5,CRITICAL,Deepfake Detected
MED-10045,Image,0.1454,0.6889,0.6104,46.591,0.1708,0.6748,0.8884,0.0,0.0,1,0.7393,24,HIGH,Deepfake Detected
MED-10046,Image,0.5747,0.7106,0.5229,29.166,0.0912,0.9304,0.6923,0.0,0.0,1,0.9772,5,HIGH,Deepfake Detected
